100.0,100.0,7.0
0,4.0,16.0,W,S,52.0,44.0,W,S,blabla
1,64.0,28.0,W,N,99.0,43.0,W,N,blabla
2,31.0,9.0,E,S,47.0,29.0,E,N,blabla
3,74.0,16.0,E,S,76.0,90.0,E,N,blabla
4,27.0,15.0,E,N,52.0,88.0,E,N,blabla
5,58.0,24.0,E,S,83.0,63.0,W,S,blabla
6,25.0,11.0,E,S,45.0,73.0,W,S,blabla
7,24.0,12.0,E,N,29.0,87.0,W,S,blabla
8,26.0,5.0,W,S,49.0,20.0,W,N,blabla
9,24.0,47.0,E,N,74.0,69.0,W,N,blabla
10,36.0,60.0,E,S,93.0,79.0,E,N,blabla
11,22.0,40.0,W,S,42.0,87.0,E,N,blabla
12,62.0,26.0,E,N,88.0,35.0,E,S,blabla
13,28.0,45.0,W,N,98.0,96.0,W,N,blabla
14,6.0,46.0,W,N,20.0,80.0,E,S,blabla
15,35.0,19.0,E,S,63.0,56.0,E,N,blabla
16,7.0,88.0,E,N,19.0,91.0,E,S,blabla
17,2.0,85.0,E,N,46.0,98.0,W,S,blabla
18,56.0,31.0,W,N,85.0,66.0,E,S,blabla
19,17.0,35.0,E,N,53.0,37.0,E,S,blabla
20,51.0,19.0,W,N,82.0,52.0,W,N,blabla
21,22.0,50.0,E,S,97.0,87.0,E,S,blabla
22,48.0,63.0,W,N,69.0,82.0,W,N,blabla
23,1.0,35.0,W,N,94.0,48.0,W,S,blabla
24,18.0,15.0,E,S,89.0,77.0,E,S,blabla
25,11.0,35.0,E,S,88.0,41.0,E,S,blabla
26,91.0,64.0,W,S,92.0,77.0,W,N,blabla
27,60.0,59.0,E,N,69.0,66.0,W,N,blabla
28,66.0,31.0,E,S,88.0,78.0,W,S,blabla
29,27.0,82.0,E,S,49.0,85.0,E,S,blabla
30,22.0,56.0,E,S,97.0,71.0,E,S,blabla
31,79.0,61.0,E,N,80.0,79.0,E,S,blabla
32,30.0,55.0,W,S,34.0,96.0,W,N,blabla
33,57.0,55.0,W,S,63.0,60.0,E,N,blabla
34,23.0,39.0,E,N,49.0,87.0,W,N,blabla
35,60.0,15.0,E,S,86.0,26.0,W,N,blabla
36,40.0,75.0,W,N,45.0,86.0,E,N,blabla
37,10.0,50.0,E,N,55.0,82.0,W,N,blabla
38,2.0,63.0,E,N,28.0,76.0,E,N,blabla
39,26.0,14.0,W,S,83.0,23.0,W,S,blabla
40,64.0,43.0,W,S,92.0,86.0,W,N,blabla
41,69.0,43.0,W,N,73.0,64.0,E,N,blabla
42,73.0,19.0,W,N,85.0,43.0,W,S,blabla
43,33.0,36.0,E,S,64.0,57.0,W,S,blabla
44,43.0,29.0,W,N,60.0,80.0,E,N,blabla
45,75.0,6.0,E,S,75.0,99.0,W,S,blabla
46,43.0,28.0,E,N,89.0,71.0,E,S,blabla
47,65.0,19.0,W,N,84.0,42.0,E,S,blabla
48,72.0,75.0,E,S,72.0,83.0,E,S,blabla
49,8.0,20.0,W,S,85.0,30.0,E,N,blabla
50,24.0,49.0,E,N,81.0,92.0,W,S,blabla
51,47.0,41.0,W,S,83.0,80.0,W,N,blabla
52,10.0,3.0,W,N,75.0,52.0,E,S,blabla
53,3.0,13.0,E,N,98.0,18.0,W,N,blabla
54,9.0,32.0,E,N,83.0,34.0,W,N,blabla
55,6.0,14.0,W,N,60.0,14.0,W,S,blabla
56,43.0,22.0,E,N,56.0,38.0,E,S,blabla
57,30.0,53.0,W,S,62.0,60.0,E,S,blabla
58,22.0,12.0,E,S,26.0,84.0,W,N,blabla
59,11.0,0.0,E,S,88.0,25.0,W,S,blabla
60,53.0,43.0,W,S,61.0,76.0,E,N,blabla
61,31.0,36.0,W,N,56.0,82.0,E,S,blabla
62,55.0,7.0,W,N,72.0,28.0,W,N,blabla
63,23.0,15.0,W,N,59.0,62.0,E,N,blabla
64,2.0,28.0,E,N,40.0,72.0,W,N,blabla
65,14.0,13.0,W,S,22.0,97.0,W,S,blabla
66,64.0,65.0,E,S,97.0,86.0,W,N,blabla
67,25.0,2.0,E,N,43.0,86.0,W,S,blabla
68,49.0,48.0,E,N,60.0,60.0,E,N,blabla
69,56.0,43.0,W,S,58.0,95.0,E,N,blabla
